listing_id,source,url,http_status,http_error,html_bytes,method,lat,lng,sv_plausible,notes
bienesraices|2074,bienesraices,https://bienesraicesenelsalvador.com/propiedad/lote-de-5000-v2-en-el-capulin-colon-cerca-de-campos-verdes-300k-2074,200,,91975,,,,,
century21|738070,century21,https://www.century21elsalvador.com/propiedad/738070_amplio-terreno-premium-a-la-venta-con-vista-privilegiada/oficina_4942-century-21-el-salvador_local,200,,140697,,,,,
goodlife|three-cliffside-lots-near-el-zonte-399-1-1m,goodlife,https://goodlifeelsalvador.com/property-item/three-cliffside-lots-near-el-zonte-399-1-1m/,200,,473009,,,,,
oceanside|13544,oceanside,https://oceansideelsalvador.com/rental-details/cerromar-stage-3-lot-3/,200,,169758,,,,,
remax|002284175001,remax,https://www.remax-elsalvador.com/002284175001,200,,72805,gmaps_q_param,13.324304,-88.953602,True,
remax|002472129072,remax,https://www.remax-elsalvador.com/002472129072,200,,89785,gmaps_q_param,14.113523,-89.287854,True,
remax|003093518021,remax,https://www.remax-elsalvador.com/003093518021,200,,79686,gmaps_q_param,13.720346,-89.72484,True,
remax|003063506012,remax,https://www.remax-elsalvador.com/003063506012,200,,69393,gmaps_q_param,13.72788,-89.229877,True,
remax|2282685112,remax,https://www.remax-elsalvador.com/2282685112,200,,85699,gmaps_q_param,13.651406,-89.192233,True,
bienesraices|1646,bienesraices,https://bienesraicesenelsalvador.com/propiedad/terreno-playa-san-diego-1002vr2-frente-al-mar-sc1-ceap-1646,200,,96889,,,,,
remax|003113372003,remax,https://www.remax-elsalvador.com/003113372003,200,,69673,gmaps_q_param,13.469761,-89.087181,True,
